company_id,company_name,total_sign_in_count,diff_from_previous_day,current_plan_title,ffg_id
6700,"DXシステム検証用",128,0,"有料プラン","15eddf81-552b-44e2-b17d-d3229126fb8a, 30eb932a-d61d-48c1-bbc3-a465bf24c914, 4a0af385-ffd4-409d-abf1-27207d7d76f0, e7fd587c-57eb-423c-8043-3815c87bb094, f56ad9b2-3ebe-43d5-a915-48114ab14d73"
6703,"エメラダ株式会社（テスト）",131,0,"有料プラン","09a4e2c2-2993-4215-b569-10950d665a3e, 4a25405b-6266-48e2-94b5-b74d89d212b4, 7a69b3af-a935-4617-a7c9-9171a3039183, cff9f1ae-9679-4811-9170-1fe699b10e2c, e968bd0c-3465-4419-b378-7afbd4bd3afd"
6932,"DXシステム検証用",24,0,"有料プラン","2a8e9a90-6593-4280-a935-7ef4dc45f8af, 4a0af385-ffd4-409d-abf1-27207d7d76f0, 73ca7aa8-0545-44b1-93c0-c2335209b0f4"
7505,"熊本銀行営業推進部ダイレクトバンキングセンターテスト用",17,0,"無料プラン","e83a0cc3-db1c-42ad-9305-2e07dbee4a01"
7520,"株）十八親和銀行　デジタル化推進部",35,0,"無料プラン","3af74730-7be3-4511-b6f7-5fd5dc62907a, 8e75995c-d24e-4eb6-99a2-2568bd8a6443, b6eeffec-aa70-4943-8163-101fa94056e9, f0ebedd1-e4c4-407c-bcbc-fde5af906439"
7530,"福岡銀行ＩＢＥＢチームＥＢテスト用口座",6,0,"無料プラン","6d85b2f3-5792-4a3e-9ef5-f626890dde40"
7531,"福岡銀行ＩＢＥＢチームＥＢテスト用口座",6,0,"無料プラン","17fedc1f-7088-4a4e-947b-7e5e5218ce53"
7540,"iBankマーケティング株式会社",0,0,"NULL","f56ad9b2-3ebe-43d5-a915-48114ab14d73"
7541,"社会福祉法人ともしび福祉会",3,0,"無料プラン","768ee323-34e5-48bf-936a-9481102fe7fd"
7544,"医療法人洗心会児嶋病院",1,0,"無料プラン","c5ec2d0f-6934-4250-9716-99ac60f47f18"
7549,"有限会社高濱塗装工業",2,0,"無料プラン","f8693b7e-95a3-42e1-a6b5-094116053542"
7562,"MSD合同会社",1,0,"無料プラン","5446d0d8-195a-4c97-b39b-c20813ef6a6c"
7563,"サン電子工業株式会社",3,0,"無料プラン","2875a47c-a95c-47c2-833b-73b3b0e7ba16"
7564,"SPD",0,0,"NULL","9d767d71-aa8c-4aa2-aeb1-7f7b2aceccd3"
7565,"株式会社タケダ",1,0,"無料プラン","98897291-5061-41ef-ad62-88fd518324d7"
7566,"CIGリアルター株式会社",1,0,"無料プラン","b6d8dcdf-95f3-4279-af19-ebf3803f8841"
7568,"柳川みやま土木組合",0,0,"NULL","79b47e41-0b8e-4662-9b27-8edfbd58e52f"
7569,"株式会社祐水コンサルタント",1,0,"無料プラン","ae53aa4a-169f-4312-bc65-04825d4a95e1"
7571,"有限会社富士オートセンター",4,0,"無料プラン","d8d5de34-681a-415d-84ea-38ee626fd75d"
7575,"弁護士法人豊前総合法律事務所",3,0,"無料プラン","10bd0ca0-5bdc-4d9f-9847-b8f94b735e31"
7576,"西南自動車工業株式会社",2,0,"無料プラン","3be02ea8-9c9a-4bb0-ae79-7789759c0b7e"
7577,"株式会社キャップドゥーエデュケーションズ",6,0,"無料プラン","35cfd14b-b824-4b74-a5da-96a28153af7f"
7578,"社会福祉法人如月会",5,0,"無料プラン","74d6d288-381a-4690-a1b1-3be4b81abac3"
